1,Milk,8-16-22-
2,Soy Milk,5-
3,Eggs,21-22-
4,Butter,15-22-
5,Cheese,15-22-
6,Ice Cream,14-22-
7,Sour Cream,8-16-21-22-
8,Wheat Bread,4-
9,Red Wine,10-
10,Salmon,6-21-22-
11,Shrimp,3-21-22-
12,Lobster,3-21-22-
13,Pork Chops,17-21-22-
14,Ground Beef,21-22-
15,Bacon,15-21-22-
16,Chicken,0-
17,Turkey,0-
18,Fruit Juice,14-
19,Peanut Butter,2-
20,Peanuts,2-
21,Walnuts,1-
22,Almonds,1-
23,Sesame Seed Buns,9-
24,Oranges,0-
25,Crackers,4-
26,Olive Oil,0-
27,Rice,0-
28,Tortillas,4-
29,Potato Chips,15-19
30,Granola,4-
31,Salt,19-
32,Sugar,14-
33,Oatmeal,0-
34,Coffee,0-
35,Garlic,0-
36,Kale,0-
37,Hemp Seeds,0-
38,Lemon Juice,0-
39,Red Pepper Flakes,0-
40,Flax Seed Oil,0-
41,Parmesan Cheese,15-22-
42,Whole Grain Pasta,4-
